,incident_date,breed,borough
0,2015-01-01,bull dog,Queens
1,2015-01-01,american pit bull terrier/pit bull,Brooklyn
2,2015-01-01,"dachshund, long haired",Manhattan
3,2015-01-02,shih tzu,Queens
4,2015-01-02,american pit bull terrier/pit bull,Manhattan
5,2015-01-02,"poodle, standard",Brooklyn
6,2015-01-02,pit bull,Queens
7,2015-01-03,,Bronx
8,2015-01-03,siberian husky,Queens
9,2015-01-03,american pit bull terrier/pit bull,Brooklyn
10,2015-01-03,bichon frise,Queens
11,2015-01-04,cocker spaniel crossbreed,Queens
12,2015-01-04,chihuahua/jack russ,Manhattan
13,2015-01-04,shih tzu,Manhattan
14,2015-01-04,morkie,Brooklyn
15,2015-01-04,shih tzu x,Queens
16,2015-01-05,american pit bull terrier/pit bull,Brooklyn
17,2015-01-05,chihuahua,Brooklyn
18,2015-01-05,shih tzu,Brooklyn
19,2015-01-05,shih tzu,Brooklyn
20,2015-01-06,labradoodle,Manhattan
21,2015-01-07,collie crossbreed,Manhattan
22,2015-01-07,mutt,Bronx
23,2015-01-07,pit bull,Queens
24,2015-01-08,american pit bull terrier/pit bull,Brooklyn
25,2015-01-08,boxer,Queens
26,2015-01-08,maltese,Manhattan
27,2015-01-09,nova scotia duck tolling retriever,Manhattan
28,2015-01-09,poodle/schnauzer,Manhattan
29,2015-01-09,pit bull,Brooklyn
30,2015-01-09,golden retriever,Queens
31,2015-01-10,mixed/other,Brooklyn
32,2015-01-10,dachshund/chihuahua sh,Manhattan
33,2015-01-10,yorkshire terrier,Brooklyn
34,2015-01-11,chihuahua/lab,Manhattan
35,2015-01-11,jack russ,Manhattan
36,2015-01-11,chihuahua,Queens
37,2015-01-11,chihuahua,Queens
38,2015-01-11,chihuahua mix,Bronx
39,2015-01-12,shih tzu,Brooklyn
40,2015-01-13,pit bull,Manhattan
41,2015-01-13,jack russ,Manhattan
42,2015-01-13,dachshund smooth coat,Brooklyn
43,2015-01-14,mixed/other,Staten Island
44,2015-01-14,"poodle, standard",Queens
45,2015-01-14,pit bull,Queens
46,2015-01-14,siberian husky,Bronx
47,2015-01-14,terrier mix,Bronx
48,2015-01-14,german shepherd,Queens
49,2015-01-16,american pit bull mix / pit bull mix,Brooklyn
50,2015-01-17,rottweiler,Queens
51,2015-01-17,chihuahua,Brooklyn
52,2015-01-17,jack russ,Bronx
53,2015-01-17,pit bull,Staten Island
54,2015-01-18,chihuahua,Queens
55,2015-01-18,akita,Staten Island
56,2015-01-18,labrador retriever,Manhattan
57,2015-01-19,pit bull,Manhattan
58,2015-01-19,jack russ,Manhattan
59,2015-01-19,german shepherd,Manhattan
60,2015-01-19,bulldog mix,Bronx
61,2015-01-20,pekingese,Manhattan
62,2015-01-20,pit bull,Staten Island
63,2015-01-20,chow chow,Manhattan
64,2015-01-20,american pit bull mix / pit bull mix,Manhattan
65,2015-01-21,yorkshire terrier,Brooklyn
66,2015-01-21,dogue de bordx,Bronx
67,2015-01-21,yorkshire terrier,Queens
68,2015-01-22,pit bull,Queens
69,2015-01-22,labrador retriever,Brooklyn
70,2015-01-22,mixed/other,Bronx
71,2015-01-23,"poodle, miniature",Bronx
72,2015-01-23,shih tzu,Bronx
73,2015-01-23,shih tzu,Manhattan
74,2015-01-23,pit bull,Queens
75,2015-01-23,mixed/other,Manhattan
76,2015-01-23,german shepherd,Brooklyn
77,2015-01-24,labrador retriever,Staten Island
78,2015-01-24,american staffordshire terrier,Staten Island
79,2015-01-25,siberian husky,Queens
80,2015-01-25,chihuahua,Brooklyn
81,2015-01-25,yorkshire terrier,Queens
82,2015-01-25,"bull dog, french",Bronx
83,2015-01-26,rottweiler,Staten Island
84,2015-01-27,american pit bull terrier/pit bull,Brooklyn
85,2015-01-27,poodle/shih tzu,Queens
86,2015-01-27,jack russ,Brooklyn
