,incident_date,breed,age,gender,spay_neuter_status,borough,zip_code
0,2015-01-01,bull dog,3.0,F,False,Queens,
1,2015-01-01,american pit bull terrier/pit bull,6.0,M,False,Brooklyn,11221
2,2015-01-01,"dachshund, long haired",8.0,M,False,Manhattan,10026
3,2015-01-02,shih tzu,5.0,F,False,Queens,11434
4,2015-01-02,american pit bull terrier/pit bull,3.0,M,True,Manhattan,10128
5,2015-01-02,"poodle, standard",3.0,M,True,Brooklyn,11238
6,2015-01-02,pit bull,3.0,M,True,Queens,11412
7,2015-01-03,,1.0,F,False,Bronx,10459
8,2015-01-03,siberian husky,6.0,M,False,Queens,
9,2015-01-03,american pit bull terrier/pit bull,1.0,M,False,Brooklyn,11207
10,2015-01-03,bichon frise,4.0,F,True,Queens,
11,2015-01-04,cocker spaniel crossbreed,4.0,M,True,Queens,11357
12,2015-01-04,chihuahua/jack russ,5.0,M,True,Manhattan,10010
13,2015-01-04,shih tzu,2.0,M,False,Manhattan,
14,2015-01-04,morkie,1.0,M,False,Brooklyn,11220
15,2015-01-04,shih tzu x,2.0,M,False,Queens,11421
16,2015-01-05,american pit bull terrier/pit bull,1.0,F,False,Brooklyn,11209
17,2015-01-05,chihuahua,1.0,M,False,Brooklyn,11237
18,2015-01-05,shih tzu,4.0,F,False,Brooklyn,11205
19,2015-01-05,shih tzu,3.0,M,True,Brooklyn,11224
20,2015-01-06,labradoodle,2.0,M,True,Manhattan,10004
21,2015-01-07,collie crossbreed,2.0,M,False,Manhattan,10031
22,2015-01-07,mutt,4.0,M,False,Bronx,10466
23,2015-01-07,pit bull,2.0,M,True,Queens,11412
24,2015-01-08,american pit bull terrier/pit bull,1.0,M,True,Brooklyn,11224
25,2015-01-08,boxer,7.0,F,False,Queens,11433
26,2015-01-08,maltese,4.0,M,False,Manhattan,10013
27,2015-01-09,nova scotia duck tolling retriever,5.0,M,True,Manhattan,10024
28,2015-01-09,poodle/schnauzer,3.0,M,False,Manhattan,10019
29,2015-01-09,pit bull,2.0,M,True,Brooklyn,11213
30,2015-01-09,golden retriever,14.0,M,False,Queens,11356
31,2015-01-10,mixed/other,7.0,M,True,Brooklyn,
32,2015-01-10,dachshund/chihuahua sh,7.0,F,False,Manhattan,10029
33,2015-01-10,yorkshire terrier,1.0,F,False,Brooklyn,11237
34,2015-01-11,chihuahua/lab,9.0,M,False,Manhattan,
35,2015-01-11,jack russ,2.0,M,True,Manhattan,
36,2015-01-11,chihuahua,7.0,M,False,Queens,
37,2015-01-11,chihuahua,2.0,M,False,Queens,11370
38,2015-01-11,chihuahua mix,1.0,M,False,Bronx,
39,2015-01-12,shih tzu,2.0,M,False,Brooklyn,11207
40,2015-01-13,pit bull,7.0,M,False,Manhattan,10128
41,2015-01-13,jack russ,7.0,M,False,Manhattan,10032
42,2015-01-13,dachshund smooth coat,12.0,M,True,Brooklyn,11217
43,2015-01-14,mixed/other,8.0,M,True,Staten Island,
44,2015-01-14,"poodle, standard",3.0,M,False,Queens,11355
45,2015-01-14,pit bull,9.0,F,False,Queens,11422
46,2015-01-14,siberian husky,2.0,F,False,Bronx,10451
47,2015-01-14,terrier mix,1.0,F,True,Bronx,10469
48,2015-01-14,german shepherd,3.0,M,False,Queens,11368
49,2015-01-16,american pit bull mix / pit bull mix,2.0,M,False,Brooklyn,11235
50,2015-01-17,rottweiler,1.0,M,False,Queens,11412
51,2015-01-17,chihuahua,0.0,M,False,Brooklyn,11213
52,2015-01-17,jack russ,4.0,M,False,Bronx,10458
53,2015-01-17,pit bull,3.0,M,False,Staten Island,
54,2015-01-18,chihuahua,1.0,M,True,Queens,11434
55,2015-01-18,akita,4.0,F,False,Staten Island,
56,2015-01-18,labrador retriever,8.0,M,True,Manhattan,10075
57,2015-01-19,pit bull,5.0,M,True,Manhattan,10128
58,2015-01-19,jack russ,12.0,M,False,Manhattan,10009
59,2015-01-19,german shepherd,12.0,M,False,Manhattan,10032
60,2015-01-19,bulldog mix,3.0,F,False,Bronx,
61,2015-01-20,pekingese,5.0,M,False,Manhattan,10034
62,2015-01-20,pit bull,1.0,M,False,Staten Island,10310
63,2015-01-20,chow chow,0.0,M,True,Manhattan,10065
64,2015-01-20,american pit bull mix / pit bull mix,2.0,F,False,Manhattan,10029
65,2015-01-21,yorkshire terrier,0.0,M,False,Brooklyn,11206
66,2015-01-21,dogue de bordx,3.0,M,False,Bronx,10458
