,incident_date,breed,age,gender,spay_neuter_status
0,2015-01-01,bull dog,3.0,F,False
1,2015-01-01,american pit bull terrier/pit bull,6.0,M,False
2,2015-01-01,"dachshund, long haired",8.0,M,False
3,2015-01-02,shih tzu,5.0,F,False
4,2015-01-02,american pit bull terrier/pit bull,3.0,M,True
5,2015-01-02,"poodle, standard",3.0,M,True
6,2015-01-02,pit bull,3.0,M,True
7,2015-01-03,,1.0,F,False
8,2015-01-03,siberian husky,6.0,M,False
9,2015-01-03,american pit bull terrier/pit bull,1.0,M,False
10,2015-01-03,bichon frise,4.0,F,True
11,2015-01-04,cocker spaniel crossbreed,4.0,M,True
12,2015-01-04,chihuahua/jack russ,5.0,M,True
13,2015-01-04,shih tzu,2.0,M,False
14,2015-01-04,morkie,1.0,M,False
15,2015-01-04,shih tzu x,2.0,M,False
16,2015-01-05,american pit bull terrier/pit bull,1.0,F,False
17,2015-01-05,chihuahua,1.0,M,False
18,2015-01-05,shih tzu,4.0,F,False
19,2015-01-05,shih tzu,3.0,M,True
20,2015-01-06,labradoodle,2.0,M,True
21,2015-01-07,collie crossbreed,2.0,M,False
22,2015-01-07,mutt,4.0,M,False
23,2015-01-07,pit bull,2.0,M,True
24,2015-01-08,american pit bull terrier/pit bull,1.0,M,True
25,2015-01-08,boxer,7.0,F,False
26,2015-01-08,maltese,4.0,M,False
27,2015-01-09,nova scotia duck tolling retriever,5.0,M,True
28,2015-01-09,poodle/schnauzer,3.0,M,False
29,2015-01-09,pit bull,2.0,M,True
30,2015-01-09,golden retriever,14.0,M,False
31,2015-01-10,mixed/other,7.0,M,True
32,2015-01-10,dachshund/chihuahua sh,7.0,F,False
33,2015-01-10,yorkshire terrier,1.0,F,False
34,2015-01-11,chihuahua/lab,9.0,M,False
35,2015-01-11,jack russ,2.0,M,True
36,2015-01-11,chihuahua,7.0,M,False
37,2015-01-11,chihuahua,2.0,M,False
38,2015-01-11,chihuahua mix,1.0,M,False
39,2015-01-12,shih tzu,2.0,M,False
40,2015-01-13,pit bull,7.0,M,False
41,2015-01-13,jack russ,7.0,M,False
42,2015-01-13,dachshund smooth coat,12.0,M,True
43,2015-01-14,mixed/other,8.0,M,True
44,2015-01-14,"poodle, standard",3.0,M,False
45,2015-01-14,pit bull,9.0,F,False
46,2015-01-14,siberian husky,2.0,F,False
47,2015-01-14,terrier mix,1.0,F,True
48,2015-01-14,german shepherd,3.0,M,False
49,2015-01-16,american pit bull mix / pit bull mix,2.0,M,False
50,2015-01-17,rottweiler,1.0,M,False
51,2015-01-17,chihuahua,0.0,M,False
52,2015-01-17,jack russ,4.0,M,False
53,2015-01-17,pit bull,3.0,M,False
54,2015-01-18,chihuahua,1.0,M,True
55,2015-01-18,akita,4.0,F,False
56,2015-01-18,labrador retriever,8.0,M,True
57,2015-01-19,pit bull,5.0,M,True
58,2015-01-19,jack russ,12.0,M,False
59,2015-01-19,german shepherd,12.0,M,False
60,2015-01-19,bulldog mix,3.0,F,False
61,2015-01-20,pekingese,5.0,M,False
62,2015-01-20,pit bull,1.0,M,False
63,2015-01-20,chow chow,0.0,M,True
64,2015-01-20,american pit bull mix / pit bull mix,2.0,F,False
65,2015-01-21,yorkshire terrier,0.0,M,False
66,2015-01-21,dogue de bordx,3.0,M,False
67,2015-01-21,yorkshire terrier,3.0,M,False
68,2015-01-22,pit bull,3.0,F,False
69,2015-01-22,labrador retriever,5.0,M,True
70,2015-01-22,mixed/other,5.0,F,True
71,2015-01-23,"poodle, miniature",6.0,F,False
72,2015-01-23,shih tzu,3.0,M,False
73,2015-01-23,shih tzu,5.0,F,True
74,2015-01-23,pit bull,8.0,M,True
75,2015-01-23,mixed/other,9.0,M,True
76,2015-01-23,german shepherd,4.0,M,False
77,2015-01-24,labrador retriever,1.0,M,True
78,2015-01-24,american staffordshire terrier,1.0,M,False
79,2015-01-25,siberian husky,0.0,F,False
80,2015-01-25,chihuahua,1.0,F,False
81,2015-01-25,yorkshire terrier,4.0,M,True
82,2015-01-25,"bull dog, french",1.0,M,False
83,2015-01-26,rottweiler,2.0,F,False
84,2015-01-27,american pit bull terrier/pit bull,2.0,M,False
85,2015-01-27,poodle/shih tzu,6.0,M,True
86,2015-01-27,jack russ,11.0,M,False
87,2015-01-28,chihuahua,0.0,M,False
88,2015-01-28,cane corso,1.0,M,False
89,2015-01-29,beagle,5.0,F,False
90,2015-01-30,chihuahua,4.0,M,False
91,2015-01-30,german shepherd,0.0,F,False
92,2015-01-31,"poodle, toy",2.0,M,False
93,2015-01-31,rottweiler,6.0,F,True
94,2015-01-31,labrador retriever crossbreed,5.0,M,False
95,2015-01-31,maltese mix,3.0,M,True
96,2015-01-31,labrador retriever crossbreed,4.0,M,False
97,2015-01-31,chihuahua crossbreed,3.0,M,False
98,2015-02-01,american pit bull mix / pit bull mix,1.0,M,False
99,2015-02-01,american staffordshire terrier,3.0,M,False
100,2015-02-01,akita,6.0,F,True
101,2015-02-02,shih tzu,5.0,M,False
102,2015-02-02,pekingese,4.0,M,False
103,2015-02-02,pit bull,9.0,F,False
104,2015-02-02,jack russell mix,2.0,M,True
105,2015-02-02,pekingese,3.0,M,False
106,2015-02-02,,9.0,M,True
107,2015-02-02,yorkshire terrier,9.0,M,True
108,2015-02-02,pit bull,6.0,M,False
